kid,value,idf
"667","56","6.973897"
"668","61491","6.963270"
"669","57","6.864698"
"670","61492","6.901775"
"671","58","6.932050"
"672","61493","6.948579"
"673","59","6.940280"
"674","61494","7.028796"
"675","61495","6.986801"
"676","36430","6.841969"
"677","61496","6.921856"
"678","36431","6.828946"
"679","61497","6.893854"
"680","61498","6.913775"
"681","61499","7.024291"
"682","36432","6.907757"
"683","36433","6.878199"
"684","36434","6.874322"
"685","60","6.927960"
"686","36435","6.923887"
"687","61","6.885996"
"688","36436","7.042432"
"689","62","6.901775"
"690","36437","6.913775"
"691","63","6.882090"
"692","36438","6.838231"
"693","64","6.878199"
"694","36439","6.915790"
"695","65","6.934101"
"696","66","6.823416"
"697","67","6.845722"
"698","68","6.907757"
"699","69","6.925921"
"700","36420","6.950665"
"701","36429","6.921856"
"702","36421","6.956947"
"703","36422","7.051628"
"704","70","6.930003"
"705","36423","6.938217"
"706","71","6.952754"
"707","36424","6.911765"
"708","72","6.847603"
"709","36425","6.808817"
"710","73","6.911765"
"711","36426","6.938217"
"712","74","6.921856"
"713","36427","6.923887"
"714","75","6.817916"
"715","36428","6.969633"
"716","76","6.816090"
"717","77","6.889917"
"718","78","6.969633"
"719","79","6.862784"
"720","36418","6.870461"
"721","36419","6.959051"
"722","36410","6.868536"
"723","80","6.874322"
"724","36411","6.872390"
"725","81","6.913775"
"726","36412","6.973897"
"727","82","6.862784"
"728","36413","6.880142"
"729","83","6.936157"
"730","36414","6.862784"
"731","84","6.901775"
"732","36415","6.965386"
"733","85","6.895829"
"734","36416","6.891884"
"735","86","7.022047"
"736","36417","6.845722"
"737","87","6.895829"
"738","88","6.911765"
"739","89","6.944421"
"740","90","6.903765"
"741","91","6.954849"
"742","92","6.948579"
"743","93","6.973897"
"744","94","6.889917"
"745","95","6.961158"
"746","96","6.838231"
"747","97","6.982481"
"748","98","6.897807"
"749","99","6.882090"
"750","3803","6.911765"
"751","3804","6.849488"
"752","3805","6.872390"
"753","3806","6.878199"
"754","3807","6.853269"
"755","3808","6.917808"
"756","3809","6.956947"
"757","3800","6.959051"
"758","3801","6.885996"
"759","3802","6.832650"
"760","3814","6.936157"
"761","3815","6.942349"
"762","3816","6.940280"
"763","3817","6.897807"
"764","3818","6.946498"
"765","3819","6.948579"
"766","3810","6.907757"
"767","3811","6.889917"
"768","3812","6.868536"
"769","3813","6.857064"
"770","3825","6.973897"
"771","3826","6.909759"
"772","3827","6.889917"
"773","3828","6.841969"
"774","3829","6.887955"
"775","3820","6.911765"
"776","3821","6.893854"
"777","3822","6.874322"
"778","3823","6.973897"
"779","3824","6.845722"
"780","61400","6.899789"
"781","61401","6.897807"
"782","61402","6.876259"
"783","61403","6.897807"
"784","61404","6.876259"
"785","61405","6.878199"
"786","61406","6.895829"
"787","3836","6.847603"
"788","3837","6.885996"
"789","3838","6.946498"
"790","3839","6.901775"
"791","3830","6.882090"
"792","3831","6.997682"
"793","3832","6.946498"
"794","3833","6.885996"
"795","3834","6.999873"
"796","3835","6.880142"
"797","61410","6.954849"
"798","61411","6.849488"
"799","61412","6.995496"
"800","61413","6.891884"
"801","61414","6.921856"
"802","61415","6.907757"
"803","61416","6.944421"
"804","61417","6.909759"
"805","3847","6.911765"
"806","61407","6.870461"
"807","3848","6.836367"
"808","61408","6.938217"
"809","3849","6.927960"
"810","61409","6.963270"
"811","3840","6.919830"
"812","3841","6.893854"
"813","3842","6.864698"
"814","3843","6.874322"
"815","3844","6.876259"
"816","3845","6.895829"
"817","3846","6.868536"
"818","3860","6.847603"
"819","61420","6.969633"
"820","61421","6.917808"
"821","61422","6.897807"
"822","61423","6.913775"
"823","61424","6.895829"
"824","61425","6.938217"
"825","61426","6.889917"
"826","61427","6.923887"
"827","61428","6.827099"
"828","3858","6.895829"
"829","61418","6.885996"
"830","3859","6.967507"
"831","61419","6.923887"
"832","3850","6.919830"
"833","3851","6.927960"
"834","3852","6.893854"
"835","3853","6.887955"
"836","3854","6.903765"
"837","3855","6.899789"
"838","3856","6.973897"
"839","3857","6.901775"
"840","36490","7.008683"
"841","36491","6.878199"
"842","36492","6.976036"
"843","36493","6.832650"
"844","36494","6.858967"
"845","36495","6.963270"
"846","36496","6.923887"
"847","3870","6.952754"
"848","61430","6.893854"
"849","36497","6.919830"
"850","3871","6.948579"
"851","61431","6.851377"
"852","61432","6.887955"
"853","61433","6.932050"
"854","61434","6.882090"
"855","61435","6.917808"
"856","61436","6.961158"
"857","61437","6.870461"
"858","61438","6.882090"
"859","61439","6.872390"
"860","3869","6.905759"
"861","61429","6.853269"
"862","36498","6.874322"
"863","3861","6.965386"
"864","36499","6.893854"
"865","3862","6.927960"
"866","3863","6.838231"
"867","3864","6.950665"
"868","3865","6.913775"
"869","3866","6.982481"
"870","3867","6.895829"
"871","3868","6.885996"
"872","3880","6.838231"
"873","3881","6.938217"
"874","3882","6.903765"
"875","3872","6.952754"
"876","3873","6.907757"
"877","3874","6.895829"
"878","3875","6.969633"
"879","3876","7.033320"
"880","3877","6.882090"
"881","3878","7.026541"
"882","3879","6.919830"
"883","3890","6.925921"
"884","3891","6.838231"
"885","3892","6.913775"
"886","3893","6.851377"
"887","3883","6.887955"
"888","3884","6.862784"
"889","3885","6.915790"
"890","3886","6.995496"
"891","3887","6.921856"
"892","3888","6.911765"
"893","3889","6.950665"
"894","3894","6.917808"
"895","3895","6.885996"
"896","3896","6.880142"
"897","3897","6.952754"
"898","3898","6.905759"
"899","3899","6.817916"
"900","36640","6.921856"
"901","36649","6.889917"
"902","36641","6.897807"
"903","36642","6.878199"
"904","36643","6.952754"
"905","36644","6.909759"
"906","36645","6.884041"
"907","36646","6.862784"
"908","36647","6.870461"
"909","36648","6.944421"
"910","22008","6.907757"
"911","22009","6.887955"
"912","22000","6.999873"
"913","22001","6.961158"
"914","22002","6.915790"
"915","22003","6.976036"
"916","22004","6.909759"
"917","22005","6.923887"
"918","22006","6.889917"
"919","22007","6.857064"
"920","36638","6.897807"
"921","36639","6.891884"
"922","36630","6.942349"
"923","36631","6.915790"
"924","36632","6.870461"
"925","36633","6.905759"
"926","36634","6.942349"
"927","36635","6.925921"
"928","36636","6.934101"
"929","36637","6.923887"
"930","36627","6.986801"
"931","36628","6.889917"
"932","36629","6.986801"
"933","36620","6.849488"
"934","36621","7.049321"
"935","36622","6.891884"
"936","36623","6.950665"
"937","36624","6.932050"
"938","36625","6.919830"
"939","36626","6.895829"
"940","36616","6.932050"
"941","36617","6.909759"
"942","36618","6.847603"
"943","36619","6.944421"
"944","36610","6.932050"
"945","36611","6.986801"
"946","36612","6.956947"
"947","36613","6.944421"
"948","36614","6.925921"
"949","36615","6.938217"
"950","36605","6.946498"
"951","36606","6.891884"
"952","36607","6.889917"
"953","36608","6.901775"
"954","36609","6.885996"
"955","36600","6.899789"
"956","36601","6.940280"
"957","36602","6.893854"
"958","36603","6.810631"
"959","36604","6.868536"
"960","61560","6.923887"
"961","61561","6.905759"
"962","61562","6.893854"
"963","61563","6.909759"
"964","61564","6.973897"
"965","61565","6.882090"
"966","61566","6.860874"
"967","61567","6.932050"
"968","61568","6.913775"
"969","61569","6.832650"
"970","36590","6.956947"
"971","36591","6.919830"
"972","36592","6.905759"
"973","61570","6.919830"
"974","36593","6.836367"
"975","61571","6.899789"
"976","36594","7.019807"
"977","61572","6.932050"
"978","36595","6.911765"
"979","61573","6.857064"
"980","36596","6.897807"
"981","61574","6.946498"
"982","61575","6.895829"
"983","61576","6.954849"
"984","61577","6.944421"
"985","61578","6.899789"
"986","61579","6.978180"
"987","36597","6.857064"
"988","36598","6.952754"
"989","36599","6.913775"
"990","36580","6.853269"
"991","61580","6.915790"
"992","36581","6.909759"
"993","61581","6.950665"
"994","36582","6.860874"
"995","61582","6.921856"
"996","36583","6.893854"
"997","61583","6.862784"
"998","36584","6.919830"
"999","61584","6.936157"
"1000","36585","6.889917"
"1001","61585","6.911765"
